종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"494330","ACE 라이프자산주주가치액티브","17545","85","0.49","17525.15","18000","18000","17360","43404","759074941","57898500000","0","3300000","FnGuide 기업가치 지수(시장가격)","2554.43","39.04","1.55"
"265690","ACE 러시아MSCI(합성)","8535","0","0.00","48.01","0","0","0","0","0","15789750000","0","1850000","MSCI Russia 25% Capped Price Return Index",,,
"152500","ACE 레버리지","26795","735","2.82","26779.60","25850","26995","25790","56877","1502787519","32154000000","0","1200000","코스피 200","713.96","9.32","1.32"
"483330","ACE 마이크로소프트밸류체인액티브","12935","-25","-0.19","12939.35","13000","13000","12930","56027","725497136","12935000000","0","1000000","KEDI 글로벌생성형AI 지수","4106.44","0.00","0.00"
"487340","ACE 머니마켓액티브","103680","0","0.00","103680.70","103680","103682","103675","16106","1669826056","539343360000","0","5202000","MK-KAP 머니마켓 총수익지수","119.08","0.00","0.00"
"0085P0","ACE 미국10년국채액티브","10800","-60","-0.55","10811.96","10825","10835","10790","240829","2604315961","75600000000","0","7000000","ICE U.S. Treasury 7-10 Year Bond Index (Total Return)","114.26","0.00","0.00"
"0085N0","ACE 미국10년국채액티브(H)","10125","-30","-0.30","10120.10","10130","10130","10120","227904","2307514130","83025000000","0","8200000","ICE U.S. Treasury 7-10 Year Bond Index (Total Return)","114.26","0.00","0.00"
"452250","ACE 미국30년국채선물레버리지(합성 H)","5350","-85","-1.56","5406.03","5385","5450","5350","83466","447445375","67142500000","0","12550000","S&P Ultra T-Bond Futures Index(ER)","110.46","0.00","0.00"
"476760","ACE 미국30년국채액티브","10095","-110","-1.08","10145.07","10130","10150","10085","374535","3785625401","363420000000","0","36000000","Bloomberg U.S Treasury 20+ Year Total Return Index","593.53","0.00","0.00"
"453850","ACE 미국30년국채액티브(H)","7630","-75","-0.97","7670.31","7660","7665","7625","2348469","17950837637","2118088000000","0","277600000","Bloomberg U.S Treasury 20+ Year Total Return Index","593.53","0.00","0.00"
"476750","ACE 미국30년국채엔화노출액티브(H)","8620","-55","-0.63","8658.78","8665","8675","8610","253270","2186920996","100854000000","0","11700000","Bloomberg U.S. Treasury 20+ Year Total Return Index T1530 JPY Currency Hedged","112.01","0.00","0.00"
"480030","ACE 미국500데일리타겟커버드콜(합성)","10850","-110","-1.00","10943.72","10960","10960","10840","163265","1771878104","158410000000","0","14600000","Bloomberg US 500 Large Cap Premium Decrement 15% Distribution Index","1122.25","0.00","0.00"
"0118Z0","ACE 미국AI테크핵심산업액티브","9755","90","0.93","9852.46","9700","9765","9690","908219","8846886478","154616750000","0","15850000","Akros U.S. AI Innovator Price Return Index","18434.06","0.00","0.00"
"280320","ACE 미국IT인터넷(합성 H)","20000","-125","-0.62","19902.68","20000","20000","19800","429","8520550","16000000000","0","800000","다우존스 인터넷 종합지수","1198.44","0.00","0.00"
"360200","ACE 미국S&P500","25540","-250","-0.97","25695.57","25790","25790","25480","1213732","30986850180","3207824000000","0","125600000","S&P 500","6940.01","0.00","0.00"
"438080","ACE 미국S&P500미국채혼합50액티브","14085","-60","-0.42","14065.96","14120","14280","14055","1100948","15553964390","842283000000","0","59800000","S&P 500 and Short-Term Treasury 50/50 Blend Index","277.28","0.00","0.00"
"309230","ACE 미국WideMoat동일가중","31820","-615","-1.90","32091.35","32435","32545","31755","38147","1217503394","144462800000","0","4540000","MorningStar Wide Moat Focus Index","16384.44","0.00","0.00"
"367380","ACE 미국나스닥100","28505","-325","-1.13","28697.47","28830","28830","28375","1028856","29256689542","2576852000000","0","90400000","NASDAQ 100","25529.26","0.00","0.00"
"438100","ACE 미국나스닥100미국채혼합50액티브","14880","-90","-0.60","14890.72","14955","14955","14830","731487","10886052665","580320000000","0","39000000","NASDAQ-100 US T-Bills 50/50 Index","1928.61","0.00","0.00"
"456880","ACE 미국달러SOFR금리(합성)","12660","-5","-0.04","12668.29","12660","12685","12640","131972","1671368094","360050400000","0","28440000","Solactive SOFR Daily Total Return Index","1228.46","0.00","0.00"
"440650","ACE 미국달러단기채권액티브","12120","-15","-0.12","12133.21","12140","12155","12110","81903","993878031","44844000000","0","3700000","Bloomberg Short-Term Treasury Total Return Index","149.99","0.00","0.00"
"0127M0","ACE 미국대형가치주액티브","10930","-25","-0.23","10939.50","10330","10955","10330","133586","1455626988","171601000000","0","15700000","CRSP US Large Cap Value Index(PR)","3382.35","0.00","0.00"
"0127P0","ACE 미국대형성장주액티브","10200","-105","-1.02","10251.55","10290","11000","10125","452426","4644227650","612000000000","0","60000000","CRSP US Large Cap Growth Index(PR)","6620.47","0.00","0.00"
"480040","ACE 미국반도체데일리타겟커버드콜(합성)","13875","10","0.07","13875.62","13925","13925","13795","151717","2102521118","105450000000","0","7600000","Bloomberg US Listed Semiconductor Premium Decrement 15% Distribution Index","1766.18","0.00","0.00"
"402970","ACE 미국배당다우존스","13650","-160","-1.16","13751.91","13690","13705","13650","864370","11822409843","681135000000","0","49900000","Dow Jones U.S. Dividend 100 Price Return Index","6120.57","0.00","0.00"
"0046Y0","ACE 미국배당퀄리티","12350","-105","-0.84","12368.74","12455","12455","12330","32034","396098344","45077500000","0","3650000","WisdomTree U.S. Quality Dividend Growth Index (Price Return)","771.89","0.00","0.00"
"0049M0","ACE 미국배당퀄리티+커버드콜액티브","11755","-35","-0.30","11729.98","11790","11790","11650","87850","1032126246","78170750000","0","6650000","Bloomberg WisdomTree U.S. Quality Dividend & B500 Premium Decrement 50:50 Index","1284.06","0.00","0.00"
"0049K0","ACE 미국배당퀄리티채권혼합50","11130","-20","-0.18","11089.05","11200","11200","11000","46187","513447084","17251500000","0","1550000","Bloomberg WisdomTree U.S. Quality Dividend & Short Term KRW Bonds 50:50 TR Index","1968.06","0.00","0.00"
"181480","ACE 미국부동산리츠(합성 H)","82780","625","0.76","83034.87","82500","82780","82500","249","20598430","9933600000","0","120000","Dow Jones U.S. Real Estate Index","1864.03","0.00","0.00"
"480020","ACE 미국빅테크7+데일리타겟커버드콜(합성)","12645","-135","-1.06","12751.51","12780","12780","12625","167203","2114551995","193468500000","0","15300000","Bloomberg US Big Tech Top 7 Plus Premium Decrement 15% Distribution Index","1978.62","0.00","0.00"
"465580","ACE 미국빅테크TOP7 Plus","22720","-375","-1.62","22982.06","22825","22825","22685","814778","18518221014","1090560000000","0","48000000","Solactive US Big Tech Top 7 Plus Price Return Index","35487.18","0.00","0.00"
"465610","ACE 미국빅테크TOP7 Plus레버리지(합성)","39810","-935","-2.29","40471.53","40180","40295","39740","37183","1482724778","127392000000","0","3200000","Solactive US Big Tech Top 7 Plus Price Return Index","35487.18","0.00","0.00"
"465620","ACE 미국빅테크TOP7 Plus인버스(합성)","7200","140","1.98","7131.99","7060","7235","7060","775","5553310","1800000000","0","250000","Solactive US Big Tech Top 7 Plus Price Return Index","35487.18","0.00","0.00"
"473590","ACE 미국주식베스트셀러","21490","-50","-0.23","21730.54","21660","21675","21435","31536","677331689","71991500000","0","3350000","FnGuide 미국 주식 베스트셀러 지수(시장가격지수)","10724.99","0.00","0.00"
"0008E0","ACE 미국중심중소형제조업","13230","-35","-0.26","13343.17","13440","13440","13200","18055","238954844","15214500000","0","1150000","NYSE FactSet US Focus Manufacturing Index(Price Return)","347.48","0.00","0.00"
"391600","ACE 미국친환경그린테마","11690","-100","-0.85","11939.78","11790","11790","11670","29971","350104599","9936500000","0","850000","Indxx US Green Infrastructure Price return Index","3430.88","0.00","0.00"
