표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수,,,,,,corp_code
KR7030190003,30190,나이스평가정보보통주,NICE평가정보,NICE Information Service,2023-08-08,KOSPI,주권,,보통주,500,58911527,,30190,30190,30190,030190,030190
KR7001260009,1260,남광토건보통주,남광토건,NamkwangEngineering&Construction,1976-12-28,KOSPI,주권,,보통주,5000,9832572,,1260,1260,1260,001260,001260
KR7008351009,8355,남선알미늄1우선주,남선알미우,NamsunAluminium(1P),1989-12-23,KOSPI,주권,,구형우선주,500,307890,,8355,8355,8355,008355,008355
KR7008350001,8350,남선알미늄보통주,남선알미늄,NamsunAluminium,1978-05-22,KOSPI,주권,,보통주,500,129079090,,8350,8350,8350,008350,008350
KR7004270005,4270,남성보통주,남성,Namsung,1989-11-14,KOSPI,주권,,보통주,500,36212160,,4270,4270,4270,004270,004270
KR7003921004,3925,남양유업1우선주,남양유업우,NamyangDairyProducts(1P),1988-06-20,KOSPI,주권,,구형우선주,500,2000000,,3925,3925,3925,003925,003925
KR7003920006,3920,남양유업보통주,남양유업,NamyangDairyProducts,1978-06-24,KOSPI,주권,,보통주,500,6000000,,3920,3920,3920,003920,003920
KR7025860008,25860,남해화학보통주,남해화학,NamhaeChemical,1995-11-10,KOSPI,주권,,보통주,1000,49678843,,25860,25860,25860,025860,025860
KR7005721006,5725,넥센1우선주,넥센우,NEXEN(1P),1989-09-23,KOSPI,주권,,구형우선주,500,3600600,,5725,5725,5725,005725,005725
KR7005720008,5720,넥센보통주,넥센,NEXEN,1987-12-19,KOSPI,주권,,보통주,500,53543977,,5720,5720,5720,005720,005720
KR7002351005,2355,넥센타이어1우선주(신형),넥센타이어1우B,NEXENTIRE(1PB),1999-06-08,KOSPI,주권,,신형우선주,500,6500000,,2355,2355,2355,002355,002355
KR7002350007,2350,넥센타이어보통주,넥센타이어,NEXENTIRE,1976-05-19,KOSPI,주권,,보통주,500,97667877,,2350,2350,2350,002350,002350
KR7092790005,92790,넥스틸보통주,넥스틸,NEXTEEL,2023-08-21,KOSPI,주권,,보통주,500,26002000,,92790,92790,92790,092790,092790
KR7251270005,251270,넷마블보통주,넷마블,Netmarble Corporation,2017-05-12,KOSPI,주권,,보통주,100,85953502,,251270,251270,251270,251270,251270
KR7090351008,90355,노루페인트 1우선주,노루페인트우,NOROO PAINT(1P),2006-07-03,KOSPI,주권,,구형우선주,500,463126,,90355,90355,90355,090355,090355
KR7090350000,90350,노루페인트 보통주,노루페인트,NOROO PAINT,2006-07-03,KOSPI,주권,,보통주,500,20000000,,90350,90350,90350,090350,090350
KR7000321000,325,노루홀딩스1우선주,노루홀딩스우,NorooHoldings(1P),1989-01-21,KOSPI,주권,,구형우선주,500,243559,,325,325,325,000325,000325
KR7000320002,320,노루홀딩스보통주,노루홀딩스,NorooHoldings,1973-08-10,KOSPI,주권,,보통주,500,13291151,,320,320,320,000320,000320
KR7006280002,6280,녹십자보통주,녹십자,Green Cross Corporation,1989-08-01,KOSPI,주권,,보통주,5000,11686538,,6280,6280,6280,006280,006280
KR7005252002,5257,녹십자홀딩스2우선주(신형),녹십자홀딩스2우,Green Cross Holdings Corporation(2PB),1997-03-19,KOSPI,주권,,신형우선주,500,845990,,5257,5257,5257,005257,005257
KR7005250006,5250,녹십자홀딩스보통주,녹십자홀딩스,Green Cross Holdings Corporation,1978-08-28,KOSPI,주권,,보통주,500,47028210,,5250,5250,5250,005250,005250
KR7004370003,4370,농심보통주,농심,Nongshim,1976-06-30,KOSPI,주권,,보통주,5000,6082642,,4370,4370,4370,004370,004370
KR7072710007,72710,농심홀딩스보통주,농심홀딩스,NongshimHoldings,2003-07-30,KOSPI,주권,,보통주,5000,4637790,,72710,72710,72710,072710,072710
KR7058730003,58730,다스코보통주,다스코,Development Advance Solution,2004-08-02,KOSPI,주권,,보통주,500,18888941,,58730,58730,58730,058730,058730
KR7030210009,30210,다올투자증권보통주,다올투자증권,Daol Investment & Securities,1996-11-19,KOSPI,주권,,보통주,5000,60911106,,30210,30210,30210,030210,030210
KR7023590003,23590,다우기술보통주,다우기술,DaouTechnology,1997-08-27,KOSPI,주권,,보통주,500,44866617,,23590,23590,23590,023590,023590
KR7145210001,145210,다이나믹디자인보통주,다이나믹디자인,Dynamic Design,2015-03-19,KOSPI,주권,,보통주,500,42236668,,145210,145210,145210,145210,145210
KR7483650008,483650,달바글로벌보통주,달바글로벌,d'Alba Global,2025-05-22,KOSPI,주권,,보통주,100,12343915,,483650,483650,483650,483650,483650
KR7019680008,19680,대교보통주,대교,DAEKYO,2004-02-03,KOSPI,주권,,보통주,500,84702850,,19680,19680,19680,019680,019680
KR7019681006,19685,대교우선주(신형),대교우B,DAEKYO(1PB),2004-02-03,KOSPI,주권,,신형우선주,500,19426990,,19685,19685,19685,019685,019685
KR7006370001,6370,대구백화점보통주,대구백화점,DaeguDepartmentStore,1988-10-10,KOSPI,주권,,보통주,5000,10821611,,6370,6370,6370,006370,006370
KR700806K010,00806K,대덕1우선주,대덕1우,"DAEDUCK Co.,LTD(1P)",2018-12-19,KOSPI,주권,,종류주권,500,1212357,,00806K,,0,000000,
KR7008060006,8060,대덕보통주,대덕,"DAEDUCK Co.,LTD",1989-01-26,KOSPI,주권,,보통주,500,33890150,,8060,8060,8060,008060,008060
KR7353200009,353200,대덕전자보통주,대덕전자,DaeduckElectronics,2020-05-21,KOSPI,주권,,보통주,500,49416925,,353200,353200,353200,353200,353200
KR735320K011,35320K,대덕전자우선주,대덕전자1우,DaeduckElectronics(1P),2020-05-21,KOSPI,주권,,종류주권,500,2095519,,35320K,,0,000000,
KR7000490003,490,대동보통주,대동,DAEDONG CORPORATION,1975-06-27,KOSPI,주권,,보통주,1000,28826865,,490,490,490,000490,000490
KR7008110009,8110,대동전자보통주,대동전자,DAIDONGElECTRONICS,1990-06-05,KOSPI,주권,,보통주,500,10490447,,8110,8110,8110,008110,008110
KR7005750005,5750,대림바스보통주,대림바스,DAELIM BATH,1992-12-23,KOSPI,주권,,보통주,1000,16672240,,5750,5750,5750,005750,005750
KR7006570006,6570,대림통상보통주,대림통상,DaelimTrading,1975-11-20,KOSPI,주권,,보통주,1000,15225000,,6570,6570,6570,006570,006570
KR7001681006,1685,대상1우선주,대상우,Daesang(1P),1989-11-21,KOSPI,주권,,구형우선주,1000,1370223,,1685,1685,1685,001685,001685
KR7001680008,1680,대상보통주,대상,Daesang,1970-04-01,KOSPI,주권,,보통주,1000,34648025,,1680,1680,1680,001680,001680
KR7084691005,84695,대상홀딩스 1우선주,대상홀딩스우,Daesang Holdings(1P),2005-08-17,KOSPI,주권,,구형우선주,1000,913482,,84695,84695,84695,084695,084695
KR7084690007,84690,대상홀딩스 보통주,대상홀딩스,Daesang Holdings,2005-08-17,KOSPI,주권,,보통주,1000,36212538,,84690,84690,84690,084690,084690
KR7128820008,128820,대성산업보통주,대성산업,DAESUNG INDUSTRIAL,2010-07-30,KOSPI,주권,,보통주,1000,45235478,,128820,128820,128820,128820,128820
KR7117580001,117580,대성에너지보통주,대성에너지,DAESUNG ENERGY,2010-12-24,KOSPI,주권,,보통주,1000,27500000,,117580,117580,117580,117580,117580
KR7016710006,16710,대성홀딩스보통주,대성홀딩스,DAESUNG HOLDINGS,1999-12-22,KOSPI,주권,,보통주,1000,16089459,,16710,16710,16710,016710,016710
KR70030R0007,0030R0,대신밸류리츠위탁관리부동산투자회사보통주,대신밸류리츠,Daishin Value REIT,2025-07-10,KOSPI,부동산투자회사,,보통주,500,59780000,,0030R0,,0,000000,
KR7003541000,3545,대신증권1우선주,대신증권우,DaishinSecurities(1P),1988-09-01,KOSPI,주권,,구형우선주,5000,26000000,,3545,3545,3545,003545,003545
KR7003542008,3547,대신증권2우선주(신형),대신증권2우B,DAISHINSECURITIES(2PB),2007-11-09,KOSPI,주권,,신형우선주,5000,10000000,,3547,3547,3547,003547,003547
KR7003540002,3540,대신증권보통주,대신증권,DaishinSecurities,1975-10-01,KOSPI,주권,,보통주,5000,50773400,,3540,3540,3540,003540,003540
KR7009190000,9190,대양금속보통주,대양금속,DaiyangMetal,1994-04-29,KOSPI,주권,,보통주,500,43192625,,9190,9190,9190,009190,009190
KR7014160006,14160,대영포장보통주,대영포장,DaeyoungPackaging,1990-03-06,KOSPI,주권,,보통주,500,108394549,,14160,14160,14160,014160,014160
KR7047040001,47040,대우건설보통주,대우건설,DaewooEngineering&Construction,2001-03-23,KOSPI,주권,,보통주,5000,415622638,,47040,47040,47040,047040,047040
KR7003090008,3090,대웅보통주,대웅,Daewoong,1973-06-26,KOSPI,주권,,보통주,500,58141980,,3090,3090,3090,003090,003090
KR7069620003,69620,대웅제약보통주,대웅제약,DAEWOONGPHARMACEUTICAL,2002-11-01,KOSPI,주권,,보통주,2500,11586575,,69620,69620,69620,069620,069620
KR7000430009,430,대원강업보통주,대원강업,DaewonKangup,1977-06-22,KOSPI,주권,,보통주,500,62000000,,430,430,430,000430,000430
KR7006341002,6345,대원전선1우선주,대원전선우,DaewonCable(1P),1989-06-21,KOSPI,주권,,구형우선주,500,2621200,,6345,6345,6345,006345,006345
KR7006340004,6340,대원전선보통주,대원전선,DaewonCable,1988-05-04,KOSPI,주권,,보통주,500,77074671,,6340,6340,6340,006340,006340
KR7003220001,3220,대원제약보통주,대원제약,DaewonPharmaceutical,1999-12-15,KOSPI,주권,,보통주,500,22427583,,3220,3220,3220,003220,003220
KR7024890006,24890,대원화성보통주,대원화성,DaewonChemical,1997-10-28,KOSPI,주권,,보통주,500,41249152,,24890,24890,24890,024890,024890
KR7002880003,2880,대유에이텍,대유에이텍,"DAYOU AUTOMOTIVE SEAT TECHNOLOGY CO.,LTD",1977-02-18,KOSPI,주권,,보통주,500,46773995,,2880,2880,2880,002880,002880
KR7015230006,15230,대창단조보통주,대창단조,DaechangForging,1989-07-25,KOSPI,주권,,보통주,500,28572230,,15230,15230,15230,015230,015230
KR7012800009,12800,대창보통주,대창,DAECHANG,1989-12-05,KOSPI,주권,,보통주,500,91140499,,12800,12800,12800,012800,012800
KR7001070002,1070,대한방직보통주,대한방직,TaihanTextile,1973-12-28,KOSPI,주권,,보통주,1000,5300000,,1070,1070,1070,001070,001070
KR7006650006,6650,대한유화보통주,대한유화,KOREA PETRO CHEMICAL IND,1999-08-11,KOSPI,주권,,보통주,5000,6500000,,6650,6650,6650,006650,006650
KR7001440007,1440,대한전선보통주,대한전선,Taihan Cable & Solution,1968-12-27,KOSPI,주권,,보통주,1000,186447300,,1440,1440,1440,001440,001440
KR7084010008,84010,대한제강 보통주,대한제강,Daehan Steel Co. Ltd.,2005-10-31,KOSPI,주권,,보통주,1000,22914397,,84010,84010,84010,084010,084010
KR7001791003,1795,대한제당1우선주,대한제당우,TS(1P),1995-01-21,KOSPI,주권,,구형우선주,500,6482760,,1795,1795,1795,001795,001795
KR7001790005,1790,대한제당보통주,대한제당,TS,1968-12-27,KOSPI,주권,,보통주,500,89696580,,1790,1790,1790,001790,001790
KR7001130004,1130,대한제분보통주,대한제분,DaehanFlourMill,1970-11-25,KOSPI,주권,,보통주,5000,1690000,,1130,1130,1130,001130,001130
KR7439260001,439260,대한조선보통주,대한조선,DAEHAN SHIPBUILDING,2025-08-01,KOSPI,주권,,보통주,5000,38526312,,439260,439260,439260,439260,439260
KR7003491008,3495,대한항공1우선주,대한항공우,KoreanAirLines(1P),1990-03-31,KOSPI,주권,,구형우선주,5000,1110794,,3495,3495,3495,003495,003495
KR7003490000,3490,대한항공보통주,대한항공,KoreanAirLines,1966-03-18,KOSPI,주권,,보통주,5000,368220661,,3490,3490,3490,003490,003490
KR7005880000,5880,대한해운보통주,대한해운,KoreaLine,1992-04-23,KOSPI,주권,,보통주,500,322747340,,5880,5880,5880,005880,005880
KR7003830007,3830,대한화섬보통주,대한화섬,DaehanSyntheticFibrer,1985-12-23,KOSPI,주권,,보통주,5000,1328000,,3830,3830,3830,003830,003830
KR7016090003,16090,대현보통주,대현,Daehyun,1990-09-20,KOSPI,주권,,보통주,500,44282310,,16090,16090,16090,016090,016090
KR7069460004,69460,대호에이엘보통주,대호에이엘,DAEHOAL,2002-11-11,KOSPI,주권,,보통주,500,87071952,,69460,69460,69460,069460,069460
KR7475560009,475560,더본코리아보통주,더본코리아,The BORN Korea,2024-11-06,KOSPI,주권,,보통주,500,14776640,,475560,475560,475560,475560,475560
KR7192080000,192080,더블유게임즈보통주,더블유게임즈,DoubleUGames,2019-03-12,KOSPI,주권,,보통주,500,21495906,,192080,192080,192080,192080,192080
KR7012510004,12510,더존비즈온보통주,더존비즈온,DOUZONE BIZON,1988-10-28,KOSPI,주권,,보통주,500,30382784,,12510,12510,12510,012510,012510
KR7004831004,4835,덕성1우선주,덕성우,Duksung(1P),1989-12-19,KOSPI,주권,,구형우선주,500,1392000,,4835,4835,4835,004835,004835
KR7004830006,4830,덕성보통주,덕성,Duksung,1987-09-25,KOSPI,주권,,보통주,500,15680000,,4830,4830,4830,004830,004830
KR7145720009,145720,덴티움보통주,덴티움,DENTIUM,2017-03-15,KOSPI,주권,,보통주,500,11068830,,145720,145720,145720,145720,145720
KR7002150001,2150,도화엔지니어링보통주,도화엔지니어링,DOHWA ENGINEERING,2010-08-12,KOSPI,주권,,보통주,500,33720000,,2150,2150,2150,002150,002150
KR7460850001,460850,동국씨엠보통주,동국씨엠,DONGKUK COATED METAL,2023-06-16,KOSPI,주권,,보통주,5000,29898656,,460850,460850,460850,460850,460850
KR7460860000,460860,동국제강보통주,동국제강,DONGKUK STEEL MILL,2023-06-16,KOSPI,주권,,보통주,5000,49608017,,460860,460860,460860,460860,460860
KR7001230002,1230,동국홀딩스보통주,동국홀딩스,DONGKUK HOLDINGS,1988-05-09,KOSPI,주권,,보통주,5000,31800483,,1230,1230,1230,001230,001230
KR7004140000,4140,동방보통주,동방,DongbangTransport&Logistics,1988-08-10,KOSPI,주권,,보통주,1000,47971766,,4140,4140,4140,004140,004140
KR7007590003,7590,동방아그로보통주,동방아그로,DongbangAgro,1977-06-29,KOSPI,주권,,보통주,500,13617577,,7590,7590,7590,007590,007590
KR7005961008,5965,동부건설1우선주,동부건설우,Dongbu(1P),1990-06-21,KOSPI,주권,,구형우선주,5000,225732,,5965,5965,5965,005965,005965
KR7005960000,5960,동부건설보통주,동부건설,Dongbu Corporation,1978-10-30,KOSPI,주권,,보통주,5000,22946663,,5960,5960,5960,005960,005960
KR7026960005,26960,동서보통주,동서,DONGSUH,2016-07-15,KOSPI,주권,,보통주,500,99700000,,26960,26960,26960,026960,026960
KR7002210003,2210,동성제약보통주,동성제약,DongsungPharmaceutical,1990-01-19,KOSPI,주권,,보통주,1000,26619507,,2210,2210,2210,002210,002210
KR7102260007,102260,동성케미컬보통주,동성케미컬,"DONGSUNG CHEMICAL Co., Ltd.",2008-06-23,KOSPI,주권,,보통주,1000,50176791,,102260,102260,102260,102260,102260
KR7000640003,640,동아쏘시오홀딩스보통주,동아쏘시오홀딩스,Dong-A Socio Holdings,1970-02-10,KOSPI,주권,,보통주,5000,6536434,,640,640,640,000640,000640
KR7170900005,170900,동아에스티보통주,동아에스티,Donga ST,2013-04-08,KOSPI,주권,,보통주,5000,9352651,,170900,170900,170900,170900,170900
KR7028100006,28100,동아지질보통주,동아지질,Dong-Ah Geological Engineering Company,2009-06-12,KOSPI,주권,,보통주,500,13389502,,28100,28100,28100,028100,028100
KR7001521004,1525,동양1우선주,동양우,TONGYANG(1P),1989-09-30,KOSPI,주권,,구형우선주,500,617731,,1525,1525,1525,001525,001525
KR7001522002,1527,동양2우선주(신형),동양2우B,TONGYANG(2PB),1999-01-28,KOSPI,주권,,신형우선주,500,308569,,1527,1527,1527,001527,001527
KR7084670009,84670,동양고속보통주,동양고속,DONGYANG EXPRESS CORP.,2005-07-25,KOSPI,주권,,보통주,5000,2895569,,84670,84670,84670,084670,084670
KR7001520006,1520,동양보통주,동양,TONGYANG,1976-06-25,KOSPI,주권,,보통주,500,238684063,,1520,1520,1520,001520,001520
KR7082640004,82640,동양생명보험보통주,동양생명,TONGYANG LIFE INSURANCE,2009-10-08,KOSPI,주권,,보통주,5000,161358585,,82640,82640,82640,082640,082640
KR7018500009,18500,동원금속보통주,동원금속,DONGWON METAL,1995-11-10,KOSPI,주권,,보통주,500,46754933,,18500,18500,18500,018500,018500
KR7006040000,6040,동원산업보통주,동원산업,DongwonIndustries,1989-03-07,KOSPI,주권,,보통주,1000,44147986,,6040,6040,6040,006040,006040
KR7030720007,30720,동원수산보통주,동원수산,DongwonFisheries,1996-11-22,KOSPI,주권,,보통주,5000,4653805,,30720,30720,30720,030720,030720
KR7014821003,14825,동원시스템즈1우선주,동원시스템즈우,Dongwon Systems Corporation(1P),1995-01-21,KOSPI,주권,,구형우선주,5000,264111,,14825,14825,14825,014825,014825
KR7014820005,14820,동원시스템즈보통주,동원시스템즈,Dongwon Systems Corporation,1994-03-29,KOSPI,주권,,보통주,5000,28991282,,14820,14820,14820,014820,014820
KR7111380002,111380,동인기연보통주,동인기연,DONG IN ENTECH,2023-11-21,KOSPI,주권,,보통주,100,6128000,,111380,111380,111380,111380,111380
KR7163560006,163560,동일고무벨트보통주,동일고무벨트,DRB Industrial,2012-10-19,KOSPI,주권,,보통주,500,13900000,,163560,163560,163560,163560,163560
KR7004890000,4890,동일산업보통주,동일산업,"DONGILINDUSTRIESCO.,LTD",2005-06-30,KOSPI,주권,,보통주,5000,2425215,,4890,4890,4890,004890,004890
KR7002690006,2690,동일제강보통주,동일제강,"DONG IL STEEL MFG CO., LTD",2015-09-24,KOSPI,주권,,보통주,500,20300360,,2690,2690,2690,002690,002690
KR7000020008,20,동화약품보통주,동화약품,DongwhaPharm,1976-03-24,KOSPI,주권,,보통주,1000,27931470,,20,20,20,000020,000020
KR7000151001,155,두산1우선주,두산우,DOOSAN(1P),1986-07-31,KOSPI,주권,,구형우선주,5000,3996462,,155,155,155,000155,000155
KR7000152009,157,두산2우선주(신형),두산2우B,DOOSAN(2PB),1999-12-03,KOSPI,주권,,신형우선주,5000,893038,,157,157,157,000157,000157
KR7454910001,454910,두산로보틱스보통주,두산로보틱스,Doosan Robotics,2023-10-05,KOSPI,주권,,보통주,500,64819980,,454910,454910,454910,454910,454910
KR7241560002,241560,두산밥캣보통주,두산밥캣,Doosan Bobcat,2016-11-18,KOSPI,주권,,보통주,500,95856065,,241560,241560,241560,241560,241560
KR7000150003,150,두산보통주,두산,DOOSAN,1973-06-29,KOSPI,주권,,보통주,5000,16193835,,150,150,150,000150,000150
KR7034020008,34020,두산에너빌리티보통주,두산에너빌리티,DOOSAN ENERBILITY,2000-10-25,KOSPI,주권,,보통주,5000,640561146,,34020,34020,34020,034020,034020
KR733626K013,33626K,두산퓨얼셀1우선주,두산퓨얼셀1우,Doosan Fuel Cell(1P),2019-10-18,KOSPI,주권,,구형우선주,100,13364200,,33626K,,0,000000,
KR733626K021,33626L,두산퓨얼셀2우선주(신형),두산퓨얼셀2우B,Doosan Fuel Cell(2PB),2019-10-18,KOSPI,주권,,신형우선주,100,2986300,,33626L,,0,000000,
KR7336260005,336260,두산퓨얼셀보통주,두산퓨얼셀,Doosan Fuel Cell,2019-10-18,KOSPI,주권,,보통주,100,65493726,,336260,336260,336260,336260,336260
KR7016740003,16740,두올보통주,두올,DUAL,2016-07-29,KOSPI,주권,,보통주,2500,28674024,,16740,16740,16740,016740,016740
KR7192650000,192650,드림텍보통주,드림텍,DREAMTECH,2019-03-14,KOSPI,주권,,보통주,100,68890041,,192650,192650,192650,192650,192650
KR7024090003,24090,디씨엠보통주,디씨엠,DCMCorp.,1999-08-18,KOSPI,주권,,보통주,500,11400000,,24090,24090,24090,024090,024090
KR7003160009,3160,디아이보통주,디아이,DI,1996-07-31,KOSPI,주권,,보통주,500,28300000,,3160,3160,3160,003160,003160
KR7092200005,92200,디아이씨 보통주,디아이씨,DAE-IL Corporation,2007-10-18,KOSPI,주권,,보통주,500,38888569,,92200,92200,92200,092200,092200
KR7004840005,4840,디알비동일보통주,DRB동일,"DRB Holding Co.,Ltd",1976-05-21,KOSPI,주권,,보통주,500,19930000,,4840,4840,4840,004840,004840
KR7377190004,377190,디앤디플랫폼리츠보통주,디앤디플랫폼리츠,D&D platform REIT,2021-08-27,KOSPI,부동산투자회사,,보통주,1000,88400000,,377190,377190,377190,377190,377190
KR7000300004,300,디에이치오토넥스보통주,DH오토넥스,DHAUTONEX,1975-06-09,KOSPI,주권,,보통주,500,41437055,,300,300,300,000300,000300
KR7007340003,7340,디엔오토모티브보통주,DN오토모티브,DN AUTOMOTIVE CORPORATION,1988-09-24,KOSPI,주권,,보통주,100,58510865,,7340,7340,7340,007340,007340
KR7024900003,24900,디와이덕양보통주,디와이덕양,DY DEOKYANG,1997-06-23,KOSPI,주권,,보통주,500,32564980,,24900,24900,24900,024900,024900
KR7013570007,13570,디와이보통주,디와이,DY Corporation,1989-05-30,KOSPI,주권,,보통주,500,26319633,,13570,13570,13570,013570,013570
KR7210540001,210540,디와이파워보통주,디와이파워,DY POWER Corporation,2015-01-15,KOSPI,주권,,보통주,500,11041708,,210540,210540,210540,210540,210540
KR7092780006,92780,디와이피보통주,DYP,DYP,2017-12-08,KOSPI,주권,,보통주,500,13168460,,92780,92780,92780,092780,092780
KR7015590003,15590,디케이엠이보통주,DKME,DKME,1989-05-27,KOSPI,주권,,보통주,500,236981544,,15590,15590,15590,015590,015590
KR7032350001,32350,롯데관광개발 보통주,롯데관광개발,"LOTTE TOUR DEVELOPMENT CO., LTD",2006-06-08,KOSPI,주권,,보통주,500,79539484,,32350,32350,32350,032350,032350
KR7089860001,89860,롯데렌탈보통주,롯데렌탈,LOTTE rental,2021-08-19,KOSPI,주권,,보통주,5000,36309388,,89860,89860,89860,089860,089860
KR7330590001,330590,롯데리츠보통주,롯데리츠,LOTTE REIT,2019-10-30,KOSPI,부동산투자회사,,보통주,500,288968884,,330590,330590,330590,330590,330590
KR7000400002,400,롯데손해보험보통주,롯데손해보험,LotteNon-LifeInsurance,1971-04-16,KOSPI,주권,,보통주,1000,310336320,,400,400,400,000400,000400
KR7023530009,23530,롯데쇼핑 보통주,롯데쇼핑,"LOTTE SHOPPING CO., LTD.",2006-02-09,KOSPI,주권,,보통주,5000,28288755,,23530,23530,23530,023530,023530
KR7020150009,20150,롯데에너지머티리얼즈보통주,롯데에너지머티리얼즈,LOTTE ENERGY MATERIALS CORPORATION,2011-03-04,KOSPI,주권,,보통주,500,52365463,,20150,20150,20150,020150,020150
KR7280360009,280360,롯데웰푸드보통주,롯데웰푸드,LOTTE WELLFOOD,2017-10-30,KOSPI,주권,,보통주,500,9304574,,280360,280360,280360,280360,280360
KR7286940002,286940,롯데이노베이트보통주,롯데이노베이트,LOTTE INNOVATE,2018-07-27,KOSPI,주권,,보통주,5000,15129367,,286940,286940,286940,286940,286940
KR7004000006,4000,롯데정밀화학보통주,롯데정밀화학,LOTTE Fine Chemical,1976-04-15,KOSPI,주권,,보통주,5000,25800000,,4000,4000,4000,004000,004000
KR700499K014,00499K,롯데지주1우선주,롯데지주우,Lotte Corporation(1P),2017-10-30,KOSPI,주권,,구형우선주,200,805603,,00499K,,0,000000,
KR7004990008,4990,롯데지주보통주,롯데지주,Lotte Corporation,1974-02-16,KOSPI,주권,,보통주,200,104909237,,4990,4990,4990,004990,004990
KR7005301007,5305,롯데칠성음료1우선주,롯데칠성우,LotteChilsungBeverage(1P),1989-09-21,KOSPI,주권,,구형우선주,500,775310,,5305,5305,5305,005305,005305
KR7005300009,5300,롯데칠성음료보통주,롯데칠성,LotteChilsungBeverage,1973-06-21,KOSPI,주권,,보통주,500,9278884,,5300,5300,5300,005300,005300
KR7011170008,11170,롯데케미칼보통주,롯데케미칼,LOTTE CHEMICAL CORPORATION,1991-05-30,KOSPI,주권,,보통주,5000,42775419,,11170,11170,11170,011170,011170
KR7071840003,71840,롯데하이마트보통주,롯데하이마트,LOTTE Himart,2011-06-29,KOSPI,주권,,보통주,5000,23607712,,71840,71840,71840,071840,071840
KR7027740000,27740,마니커보통주,마니커,MANIKER,2002-10-29,KOSPI,주권,,보통주,500,63511228,,27740,27740,27740,027740,027740
KR7357430008,357430,마스턴프리미어리츠보통주,마스턴프리미어리츠,MASTERN PREMIER REIT 1,2022-05-31,KOSPI,부동산투자회사,,보통주,1000,30505307,,357430,357430,357430,357430,357430
KR7001080001,1080,만호제강보통주,만호제강,ManhoRope&Wire,1977-06-18,KOSPI,주권,,보통주,1000,4150000,,1080,1080,1080,001080,001080
KR7088980008,88980,맥쿼리한국인프라투융자회사 보통주,맥쿼리인프라,Macquarie Korea Infrastructure Fund,2006-03-15,KOSPI,사회간접자본투융자회사,,보통주,무액면,478921993,,88980,88980,88980,088980,088980
KR7138040001,138040,메리츠금융지주회사보통주,메리츠금융지주,Meritz Financial Group,2011-05-13,KOSPI,주권,,보통주,500,175221773,,138040,138040,138040,138040,138040
KR7090370008,90370,메타랩스보통주,메타랩스,METALABS,2006-12-26,KOSPI,주권,,보통주,2500,24904689,,90370,90370,90370,090370,090370
KR7118000009,118000,메타케어보통주,메타케어,METACARE,2009-12-30,KOSPI,주권,,보통주,500,171777364,,118000,118000,118000,118000,118000
KR7017180001,17180,명문제약 보통주,명문제약,MyungMoon Pharm,2008-07-10,KOSPI,주권,,보통주,500,33953454,,17180,17180,17180,017180,017180
KR7009900002,9900,명신산업보통주,명신산업,MYOUNG SHIN INDUSTRY,2020-12-07,KOSPI,주권,,보통주,500,52470133,,9900,9900,9900,009900,009900
KR7317450005,317450,명인제약보통주,명인제약,MYUNGIN PHARM,2025-10-01,KOSPI,주권,,보통주,500,14600000,,317450,317450,317450,317450,317450
KR7012690004,12690,모나리자보통주,모나리자,Monalisa,1988-10-14,KOSPI,주권,,보통주,500,36571255,,12690,12690,12690,012690,012690
KR7005360003,5360,모나미보통주,모나미,Monami,1974-06-26,KOSPI,주권,,보통주,1000,18897307,,5360,5360,5360,005360,005360
KR7070960000,70960,모나용평보통주,모나용평,MONAYONGPYONG,2016-05-27,KOSPI,주권,,보통주,5000,48133333,,70960,70960,70960,070960,070960
KR7009680000,9680,모토닉보통주,모토닉,MOTONIC,1994-01-14,KOSPI,주권,,보통주,500,28050000,,9680,9680,9680,009680,009680
KR7009200007,9200,무림페이퍼보통주,무림페이퍼,MOORIM PAPER,1990-06-09,KOSPI,주권,,보통주,2500,41609310,,9200,9200,9200,009200,009200
KR7009580002,9580,무림피앤피보통주,무림P&P,Moorim P&P,1989-06-20,KOSPI,주권,,보통주,2500,62368324,,9580,9580,9580,009580,009580
KR7033920000,33920,무학보통주,무학,Muhak,2010-07-20,KOSPI,주권,,보통주,200,28500000,,33920,33920,33920,033920,033920
KR7008420002,8420,문배철강보통주,문배철강,MoonbaeSteel,1994-11-05,KOSPI,주권,,보통주,500,20503505,,8420,8420,8420,008420,008420
KR7025560004,25560,미래산업보통주,미래산업,MiraeCorporation,1996-11-22,KOSPI,주권,,보통주,500,4482654,,25560,25560,25560,025560,025560
KR7007120009,7120,미래아이앤지보통주,미래아이앤지,MiraeING,1999-11-26,KOSPI,주권,,보통주,500,28878608,,7120,7120,7120,007120,007120
KR7396690000,396690,미래에셋글로벌리츠보통주,미래에셋글로벌리츠,Mirae Asset Global REIT,2021-12-03,KOSPI,부동산투자회사,,보통주,1000,39605940,,396690,396690,396690,396690,396690
KR7094800000,94800,미래에셋맵스리얼티부동산공모투자회사보통주,맵스리얼티,MIRAEASSET MAPS REALTY INVESTMENT COMPANY,2007-04-09,KOSPI,투자회사,,보통주,무액면,92834331,,94800,94800,94800,094800,094800
