Year,p_value,자유도,Sharpe,VaR_99,VaR_95,5일안에 폭락할 확률
2010,0.027609908087998545,7.6394542011096895,0.15602663319445714,-0.03981974919655297,-0.024623683791139907,22.0
2011,5.235674080290191e-50,4.706390400464324,0.06616262142547699,-0.06450273439923015,-0.03763523837390552,17.7
2012,0.00040706169851770956,4.261136203256283,-0.03550392032799709,-0.04004129363684221,-0.023314931914515183,14.399999999999999
2013,0.0010075674064608077,5.492465347255844,0.04313253561688205,-0.03601335375877316,-0.021755866659559937,15.8
2014,6.439316169135191e-29,5.1740571165539215,-0.029712094847912787,-0.029914445375871533,-0.018137990775469095,10.8
2015,5.9294091686863685e-09,5.377872254236074,-0.05099873565590194,-0.0375507580362047,-0.023023854392677182,15.4
2016,0.018172408522623484,6.549125433010124,0.016349734350742672,-0.028330974996491096,-0.01768835371999377,21.4
2017,0.01796635863771958,8.75451089898888,-0.0006234321789654843,-0.029373881469730898,-0.019036257630101448,12.0
2018,0.27536289164352007,10.786135978510005,-0.060835500072795014,-0.03689644946930595,-0.024616224040082058,17.9
2019,0.0013559771851137528,7.48268176322972,0.029972776390507928,-0.028650129295579158,-0.01814793536928062,18.099999999999998
2020,1.0515468843256246e-11,4.557187009256008,0.049310321176967646,-0.06562121930805243,-0.03815319251981917,21.4
2021,6.951752300711346e-214,3.1332129206492754,-0.08208259620762398,-0.052518152064621224,-0.0281289300552343,9.1
2022,0.22918078183649276,10.572225026968198,-0.09154414222053969,-0.03677894370943939,-0.024633750926834598,15.6
2023,0.0037682303969207177,11.51559131911316,0.07087922382024955,-0.03127005296927171,-0.02044477091438888,12.7
2024,1.333528152614443e-23,5.137259201859934,-0.06937729410219694,-0.04487437003910474,-0.027378639312959262,11.0
2025,0.0015710359193293437,5.876807653349304,0.09241407897914175,-0.04168590170170693,-0.02520991750352846,18.8
